B1 (Aerosol),B2 (Blue),B3 (Green),B4 (Red),B5 (Red Edge),B6 (Red Edge),B7 (Red Edge),B8 (NIR),B8A (Red Edge),B9 (Water Vapour),B11 (SWIR),B12 (SWIR),N
0.03035,0.0250625,0.04765,0.026625,0.08005,0.2845125,0.36265,0.357825,0.4011625,0.3940125,0.1822125,0.07765,2.67
0.029109091,0.022890909,0.044554545,0.023609091,0.071645455,0.276627273,0.362372727,0.350490909,0.398518182,0.390081818,0.172881818,0.070872727,2.47
0.029211111,0.023455556,0.042433333,0.023522222,0.071388889,0.273666667,0.361322222,0.345133333,0.396622222,0.388,0.169177778,0.068866667,2.38
0.028725,0.0230625,0.0430625,0.0247875,0.0731375,0.2766625,0.3661,0.361425,0.403325,0.393925,0.1734625,0.0714125,2.42
0.027866667,0.0224,0.039866667,0.022533333,0.0664,0.271466667,0.360966667,0.356266667,0.399666667,0.391633333,0.171366667,0.068366667,2.4
0.0279,0.022666667,0.0418,0.02385,0.0706,0.270733333,0.359583333,0.352966667,0.395116667,0.3886,0.16945,0.068883333,2.39
0.027388889,0.021766667,0.042333333,0.022844444,0.068633333,0.276622222,0.363611111,0.352733333,0.398611111,0.396711111,0.173411111,0.070466667,2.39
0.0277,0.021616667,0.039416667,0.022666667,0.0671,0.269833333,0.360833333,0.3497,0.400066667,0.392966667,0.167116667,0.067816667,2.36
0.0267,0.0224,0.044325,0.02435,0.0711,0.26655,0.3455,0.3351,0.38065,0.376475,0.17265,0.070575,2.42
0.03139,0.02587,0.04633,0.02792,0.07554,0.27062,0.34895,0.34466,0.38425,0.3801,0.1754,0.07524,2.39
0.028963636,0.0235,0.044781818,0.025927273,0.073509091,0.270509091,0.3464,0.341618182,0.383854545,0.378854545,0.175536364,0.075027273,2.35
0.0333,0.02875,0.051,0.029475,0.0786,0.28315,0.363375,0.37325,0.4033,0.387575,0.180825,0.07735,2.45
0.026066667,0.027966667,0.046733333,0.029766667,0.075233333,0.257766667,0.3351,0.325066667,0.3694,0.366566667,0.1732,0.075733333,2.31
